#TS 	 TEMP
8820 	 370.7011
8830 	 373.6051
8840 	 377.0160
8850 	 375.1635
8860 	 370.2433
8870 	 370.0300
8880 	 369.9531
8890 	 370.9482
8900 	 378.0731
8910 	 376.5854
8920 	 375.1990
8930 	 375.3222
8940 	 369.9652
8950 	 375.0196
8960 	 376.4455
8970 	 373.4309
8980 	 376.0596
8990 	 378.7751
9000 	 374.8335
9010 	 376.3209
9020 	 367.3034
9030 	 377.0924
9040 	 372.6610
9050 	 374.0891
9060 	 378.2534
9070 	 364.4502
9080 	 367.8539
9090 	 372.5509
9100 	 372.1206
9110 	 368.9105
9120 	 361.1874
9130 	 376.7140
9140 	 371.6899
9150 	 369.9280
9160 	 369.4341
9170 	 374.4756
9180 	 365.4082
9190 	 373.0626
9200 	 368.9670
9210 	 375.4807
9220 	 377.6528
9230 	 370.1622
9240 	 372.1223
9250 	 370.8542
9260 	 366.7097
9270 	 370.1206
9280 	 366.8112
9290 	 369.5320
9300 	 369.5044
9310 	 363.5575
9320 	 366.2229
9330 	 367.9722
9340 	 367.7354
9350 	 369.8327
9360 	 372.0004
9370 	 364.9314
9380 	 366.3811
9390 	 368.9523
9400 	 365.9065
9410 	 367.9640
9420 	 370.8888
9430 	 366.4144
9440 	 364.5871
9450 	 372.1925
9460 	 368.6802
9470 	 366.5439
9480 	 370.2967
9490 	 365.7352
9500 	 371.1549
9510 	 366.7833
9520 	 365.6673
9530 	 361.8279
9540 	 371.1287
9550 	 367.6169
9560 	 371.6337
9570 	 370.0193
9580 	 368.3494
9590 	 367.6582
9600 	 370.7335
9610 	 370.6891
9620 	 367.9238
9630 	 371.1563
9640 	 374.9637
9650 	 374.6873
9660 	 375.1885
9670 	 375.3277
9680 	 375.3796
9690 	 370.8889
9700 	 377.8027
9710 	 372.2371
9720 	 374.2314
9730 	 369.0764
9740 	 368.3461
9750 	 366.4516
9760 	 372.5705
9770 	 372.5341
9780 	 369.3814
9790 	 372.9840
9800 	 375.4229
9810 	 372.3107
9820 	 371.9670
9830 	 370.8212
9840 	 369.7549
9850 	 371.5841
9860 	 369.5984
9870 	 372.7373
9880 	 376.2837
9890 	 371.6927
9900 	 367.8504
9910 	 371.9000
9920 	 369.2301
9930 	 370.2761
9940 	 371.0449
9950 	 370.3634
9960 	 371.7264
9970 	 366.3959
9980 	 374.7020
9990 	 370.6697
10000 	 366.3718
10010 	 373.5016
10020 	 367.2126
10030 	 363.7767
10040 	 368.4564
10050 	 367.6187
10060 	 368.6732
10070 	 370.0074
10080 	 370.7374
10090 	 371.5230
10100 	 372.1250
10110 	 371.9768
10120 	 367.8378
10130 	 371.7305
10140 	 370.3073
10150 	 365.8141
10160 	 363.9317
10170 	 369.0532
10180 	 362.2496
10190 	 371.5478
10200 	 370.6158
10210 	 367.2495
10220 	 367.2051
10230 	 371.0003
10240 	 366.9261
10250 	 370.5812
10260 	 370.8741
10270 	 369.1547
10280 	 371.7360
10290 	 366.2843
10300 	 370.3400
10310 	 368.5130
10320 	 366.1313
10330 	 369.3004
10340 	 368.3452
10350 	 370.9172
10360 	 369.3278
10370 	 363.5934
10380 	 367.8516
10390 	 370.0871
10400 	 366.1974
10410 	 369.9488
10420 	 368.7720
10430 	 366.1521
10440 	 367.4201
10450 	 376.9783
10460 	 373.3225
10470 	 368.1302
10480 	 374.8556
10490 	 372.8325
10500 	 372.5594
10510 	 375.5325
10520 	 365.7136
10530 	 369.8924
10540 	 364.9612
10550 	 371.0730
10560 	 373.5752
10570 	 375.8701
10580 	 374.1275
10590 	 368.4312
10600 	 372.5417
10610 	 370.1173
10620 	 368.6283
10630 	 368.3947
10640 	 374.2228
10650 	 372.9552
10660 	 368.4262
10670 	 370.6868
10680 	 377.2863
10690 	 375.2050
10700 	 373.9402
10710 	 370.5770
10720 	 369.4232
10730 	 363.0126
10740 	 373.2689
10750 	 369.2701
10760 	 376.2518
10770 	 366.7362
10780 	 368.0307
10790 	 366.0701
10800 	 368.3777
10810 	 366.1927
10820 	 369.5521
10830 	 367.3801
10840 	 367.9071
10850 	 369.0588
10860 	 370.8117
10870 	 363.7042
10880 	 371.8031
10890 	 368.8532
10900 	 371.8679
10910 	 371.5038
10920 	 371.4751
10930 	 373.8752
10940 	 368.0595
10950 	 365.9778
10960 	 369.5064
10970 	 370.6117
10980 	 369.9682
10990 	 373.4067
11000 	 369.3814
11010 	 370.7951
11020 	 373.0643
11030 	 371.0827
11040 	 369.1437
11050 	 368.5654
11060 	 364.6589
11070 	 368.5856
11080 	 369.8258
11090 	 368.4005
11100 	 371.2569
11110 	 373.1582
11120 	 366.0353
11130 	 374.4747
11140 	 367.7025
11150 	 369.5560
11160 	 366.9408
11170 	 364.5818
11180 	 377.4877
11190 	 368.5050
11200 	 369.4954
11210 	 370.5433
11220 	 377.2283
11230 	 368.8861
11240 	 370.8115
11250 	 372.7372
11260 	 370.6778
11270 	 370.6491
11280 	 373.3239
11290 	 367.0080
11300 	 372.8768
11310 	 372.0450
11320 	 373.6181
11330 	 373.0863
11340 	 369.0408
11350 	 378.2858
11360 	 373.9143
11370 	 373.9376
11380 	 375.7465
11390 	 372.4534
11400 	 364.6227
11410 	 373.8871
11420 	 375.8673
11430 	 372.1465
11440 	 368.7190
11450 	 369.2558
11460 	 368.6586
11470 	 370.5711
11480 	 364.9840
11490 	 369.6589
11500 	 375.0677
11510 	 372.8226
11520 	 369.0240
11530 	 365.9923
11540 	 364.4120
11550 	 368.6264
11560 	 367.9911
11570 	 370.7114
11580 	 367.4702
11590 	 372.5617
11600 	 371.6793
11610 	 363.9563
11620 	 375.8430
11630 	 369.8912
11640 	 371.3171
11650 	 365.0189
11660 	 371.1706
11670 	 367.6703
11680 	 373.9057
11690 	 374.0030
11700 	 367.6443
11710 	 370.7522
11720 	 370.7213
11730 	 365.5050
11740 	 366.6506
11750 	 364.3045
11760 	 369.1353
11770 	 368.1507
11780 	 370.9824
11790 	 370.0461
11800 	 376.3899
11810 	 369.6317
11820 	 373.6455
11830 	 374.6009
11840 	 370.5697
11850 	 374.3902
11860 	 369.4322
11870 	 369.8023
11880 	 365.8914
11890 	 364.7884
11900 	 364.6903
11910 	 362.6293
11920 	 365.5636
11930 	 367.3921
11940 	 367.0302
11950 	 364.8050
11960 	 361.1620
11970 	 369.2274
11980 	 370.5546
11990 	 368.1944
12000 	 368.0522
12010 	 371.1567
12020 	 368.8342
12030 	 363.6628
12040 	 372.7351
12050 	 373.8987
12060 	 373.6188
12070 	 373.7101
12080 	 370.1973
12090 	 373.4877
12100 	 371.9175
12110 	 368.3272
12120 	 373.0189
12130 	 372.3487
12140 	 371.4130
12150 	 367.3496
12160 	 361.4557
12170 	 371.9432
12180 	 373.2068
12190 	 371.3436
12200 	 366.3286
12210 	 366.4821
12220 	 365.9363
